name,id,numeric_id,template,size,class,base_sprite,colour
HQ Level 0,hq_poor_cc,100,hq,,HDQ0,2603,
HQ Level 0 (Dark Blue),hq_poor_db,101,hq,,HDQ0,2603,COLOUR_DARK_BLUE
HQ Level 0 (Pale Green),hq_poor_pg,102,hq,,HDQ0,2603,COLOUR_PALE_GREEN
HQ Level 0 (Pink),hq_poor_pi,103,hq,,HDQ0,2603,COLOUR_PINK
HQ Level 0 (Yellow),hq_poor_Y,104,hq,,HDQ0,2603,COLOUR_YELLOW
HQ Level 0 (Red),hq_poor_r,105,hq,,HDQ0,2603,COLOUR_RED
HQ Level 0 (Light Blue),hq_poor_lb,106,hq,,HDQ0,2603,COLOUR_LIGHT_BLUE
HQ Level 0 (Green),hq_poor_g,107,hq,,HDQ0,2603,COLOUR_GREEN
HQ Level 0 (Dark Green),hq_poor_dg,108,hq,,HDQ0,2603,COLOUR_DARK_GREEN
HQ Level 0 (Blue),hq_poor_bl,109,hq,,HDQ0,2603,COLOUR_BLUE
HQ Level 0 (Cream),hq_poor_c,110,hq,,HDQ0,2603,COLOUR_CREAM
HQ Level 0 (Mauve),hq_poor_m,111,hq,,HDQ0,2603,COLOUR_MAUVE
HQ Level 0 (Purple),hq_poor_pr,112,hq,,HDQ0,2603,COLOUR_PURPLE
HQ Level 0 (Orange),hq_poor_o,113,hq,,HDQ0,2603,COLOUR_ORANGE
HQ Level 0 (Brown),hq_poor_br,114,hq,,HDQ0,2603,COLOUR_BROWN
HQ Level 0 (Grey),hq_poor_gy,115,hq,,HDQ0,2603,COLOUR_GREY
HQ Level 0 (White),hq_poor_w,116,hq,,HDQ0,2603,COLOUR_WHITE
HQ Level 1,hq_tiny_cc,200,hq,,HDQ1,2607,
HQ Level 1 (Dark Blue),hq_tiny_db,201,hq,,HDQ1,2607,COLOUR_DARK_BLUE
HQ Level 1 (Pale Green),hq_tiny_pg,202,hq,,HDQ1,2607,COLOUR_PALE_GREEN
HQ Level 1 (Pink),hq_tiny_pi,203,hq,,HDQ1,2607,COLOUR_PINK
HQ Level 1 (Yellow),hq_tiny_Y,204,hq,,HDQ1,2607,COLOUR_YELLOW
HQ Level 1 (Red),hq_tiny_r,205,hq,,HDQ1,2607,COLOUR_RED
HQ Level 1 (Light Blue),hq_tiny_lb,206,hq,,HDQ1,2607,COLOUR_LIGHT_BLUE
HQ Level 1 (Green),hq_tiny_g,207,hq,,HDQ1,2607,COLOUR_GREEN
HQ Level 1 (Dark Green),hq_tiny_dg,208,hq,,HDQ1,2607,COLOUR_DARK_GREEN
HQ Level 1 (Blue),hq_tiny_bl,209,hq,,HDQ1,2607,COLOUR_BLUE
HQ Level 1 (Cream),hq_tiny_c,210,hq,,HDQ1,2607,COLOUR_CREAM
HQ Level 1 (Mauve),hq_tiny_m,211,hq,,HDQ1,2607,COLOUR_MAUVE
HQ Level 1 (Purple),hq_tiny_pr,212,hq,,HDQ1,2607,COLOUR_PURPLE
HQ Level 1 (Orange),hq_tiny_o,213,hq,,HDQ1,2607,COLOUR_ORANGE
HQ Level 1 (Brown),hq_tiny_br,214,hq,,HDQ1,2607,COLOUR_BROWN
HQ Level 1 (Grey),hq_tiny_gy,215,hq,,HDQ1,2607,COLOUR_GREY
HQ Level 1 (White),hq_tiny_w,216,hq,,HDQ1,2607,COLOUR_WHITE
HQ Level 2,hq_medium_cc,300,hq,med,HDQ2,2611,
HQ Level 2 (Dark Blue),hq_medium_db,301,hq,med,HDQ2,2611,COLOUR_DARK_BLUE
HQ Level 2 (Pale Green),hq_medium_pg,302,hq,med,HDQ2,2611,COLOUR_PALE_GREEN
HQ Level 2 (Pink),hq_medium_pi,303,hq,med,HDQ2,2611,COLOUR_PINK
HQ Level 2 (Yellow),hq_medium_Y,304,hq,med,HDQ2,2611,COLOUR_YELLOW
HQ Level 2 (Red),hq_medium_r,305,hq,med,HDQ2,2611,COLOUR_RED
HQ Level 2 (Light Blue),hq_medium_lb,306,hq,med,HDQ2,2611,COLOUR_LIGHT_BLUE
HQ Level 2 (Green),hq_medium_g,307,hq,med,HDQ2,2611,COLOUR_GREEN
HQ Level 2 (Dark Green),hq_medium_dg,308,hq,med,HDQ2,2611,COLOUR_DARK_GREEN
